id,source_schema,source_table,bronze_table,is_active,created_on,updated_on,target_partitions,pk_columns,batch_group,topic_group,tenant_group,is_modified_on_available
39,FireEvent,ArsonIncendiaryDeviceIgnitionModValue,fireevent_arsonincendiarydeviceignitionmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
40,FireEvent,ArsonInitialInvestigation,fireevent_arsoninitialinvestigation,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonInitialInvestigationID,1,null,null,true
41,FireEvent,ArsonInitialInvestigationInformationModValue,fireevent_arsoninitialinvestigationinformationmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonInitialInvestigationID,1,null,null,true
42,FireEvent,ArsonInitialObservation,fireevent_arsoninitialobservation,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonInitialObservationID,1,null,null,true
43,FireEvent,ArsonInitialObservationObservationModValue,fireevent_arsoninitialobservationobservationmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonInitialObservationID,1,null,null,true
44,FireEvent,ArsonJuvenile,fireevent_arsonjuvenile,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileID,1,null,null,true
45,FireEvent,ArsonJuvenileAccelerantUsedModValue,fireevent_arsonjuvenileaccelerantusedmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileID,1,null,null,true
46,FireEvent,ArsonJuvenileDispositionModValue,fireevent_arsonjuveniledispositionmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileID,1,null,null,true
47,FireEvent,ArsonJuvenileEthnicityModValue,fireevent_arsonjuvenileethnicitymodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileID,1,null,null,true
48,FireEvent,ArsonJuvenileFamilyTypeModValue,fireevent_arsonjuvenilefamilytypemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileID,1,null,null,true
49,FireEvent,ArsonJuvenileGenderModValue,fireevent_arsonjuvenilegendermodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileID,1,null,null,true
50,FireEvent,ArsonJuvenileMotivationFactorModValue,fireevent_arsonjuvenilemotivationfactormodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileID,1,null,null,true
51,FireEvent,ArsonJuvenileRaceModValue,fireevent_arsonjuvenileracemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileID,1,null,null,true
52,FireEvent,ArsonJuvenileRiskFactor,fireevent_arsonjuvenileriskfactor,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileRiskFactorID,1,null,null,true
53,FireEvent,ArsonJuvenileRiskFactorRiskFactorModValue,fireevent_arsonjuvenileriskfactorriskfactormodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonJuvenileRiskFactorID,1,null,null,true
54,FireEvent,ArsonLaboratory,fireevent_arsonlaboratory,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonLaboratoryID,1,null,null,true
55,FireEvent,ArsonLaboratoryModValue,fireevent_arsonlaboratorymodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonLaboratoryID,1,null,null,true
56,FireEvent,ArsonPropertyOwnershipModValue,fireevent_arsonpropertyownershipmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
57,FireEvent,ArsonSuspectedFactor,fireevent_arsonsuspectedfactor,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonSuspectedFactorID,1,null,null,true
58,FireEvent,ArsonSuspectedFactorSuspectedFactorModValue,fireevent_arsonsuspectedfactorsuspectedfactormodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,ArsonSuspectedFactorID,1,null,null,true
61,FireEvent,CADDownloadAttempt,fireevent_caddownloadattempt,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CADDownloadAttemptID,1,null,null,true
63,FireEvent,CADIncident,fireevent_cadincident,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,IncidentID,1,null,null,true
64,FireEvent,Circumstance,fireevent_circumstance,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CircumstanceID,1,null,null,true
65,FireEvent,CircumstanceCircumstanceModValue,fireevent_circumstancecircumstancemodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CircumstanceID,1,null,null,true
67,FireEvent,CivilianCasualtyActivityModValue,fireevent_civiliancasualtyactivitymodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
68,FireEvent,CivilianCasualtyAffiliationModValue,fireevent_civiliancasualtyaffiliationmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
69,FireEvent,CivilianCasualtyEthnicityModValue,fireevent_civiliancasualtyethnicitymodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
70,FireEvent,CivilianCasualtyGenderModValue,fireevent_civiliancasualtygendermodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
71,FireEvent,CivilianCasualtyInjury,fireevent_civiliancasualtyinjury,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
72,FireEvent,CivilianCasualtyInjuryCauseOfInjuryModValue,fireevent_civiliancasualtyinjurycauseofinjurymodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
73,FireEvent,CivilianCasualtyInjuryFactor,fireevent_civiliancasualtyinjuryfactor,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyInjuryFactorID,1,null,null,true
74,FireEvent,CivilianCasualtyInjuryFactorModValue,fireevent_civiliancasualtyinjuryfactormodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyInjuryFactorID,1,null,null,true
75,FireEvent,CivilianCasualtyInjuryHumanFactor,fireevent_civiliancasualtyinjuryhumanfactor,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyInjuryHumanFactorID,1,null,null,true
76,FireEvent,CivilianCasualtyInjuryHumanFactorModValue,fireevent_civiliancasualtyinjuryhumanfactormodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyInjuryHumanFactorID,1,null,null,true
77,FireEvent,CivilianCasualtyInjuryPrimaryBodyInjuredModValue,fireevent_civiliancasualtyinjuryprimarybodyinjuredmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
78,FireEvent,CivilianCasualtyInjuryPrimarySymptomModValue,fireevent_civiliancasualtyinjuryprimarysymptommodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
79,FireEvent,CivilianCasualtyInjurySeverityModValue,fireevent_civiliancasualtyinjuryseveritymodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
80,FireEvent,CivilianCasualtyLocation,fireevent_civiliancasualtylocation,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
81,FireEvent,CivilianCasualtyLocationDispositionModValue,fireevent_civiliancasualtylocationdispositionmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
82,FireEvent,CivilianCasualtyLocationGeneralLocationModValue,fireevent_civiliancasualtylocationgenerallocationmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
83,FireEvent,CivilianCasualtyLocationLocationModValue,fireevent_civiliancasualtylocationlocationmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
84,FireEvent,CivilianCasualtyLocationSpecificLocationModValue,fireevent_civiliancasualtylocationspecificlocationmodvalue,true,2026-08-12T13:23:30.979098Z,2026-08-12T13:23:30.979098Z,null,CivilianCasualtyID,1,null,null,true
